Timestamp           MALEE.Open     MALEE.High      MALEE.Low    MALEE.Close                .PE 
18/01/12                 6.690          6.810          6.500          6.560              13.670
19/01/12                 6.630          7.560          6.630          7.380              15.360
20/01/12                 7.440          7.500          7.060          7.060              14.710
23/01/12                 7.130          7.310          7.000          7.130              14.840
24/01/12                 7.190          7.810          7.130          7.500              15.620
25/01/12                 7.560          7.630          7.380          7.440              15.490
26/01/12                 7.560          7.630          7.380          7.440              15.490
27/01/12                 7.500          7.500          7.250          7.310              15.230
30/01/12                 7.310          7.310          6.940          7.060              14.710
31/01/12                 7.130          7.380          7.000          7.000              14.580
01/02/12                 7.060          7.130          6.690          6.750              14.060
02/02/12                 6.810          7.250          6.810          7.190              14.970
03/02/12                 7.190          7.310          6.810          6.940              14.450
06/02/12                 7.000          7.000          6.750          6.750              14.060
07/02/12                 6.810          7.130          6.810          7.000              14.580
08/02/12                 7.000          7.130          6.940          6.940              14.450
09/02/12                 7.000          7.000          6.810          6.810              14.190
10/02/12                 6.880          7.000          6.810          6.880              14.320
13/02/12                 6.880          7.000          6.810          6.880              14.320
14/02/12                 7.000          7.250          6.810          6.880              14.320
15/02/12                 6.940          7.130          6.880          7.000              14.580
16/02/12                 7.000          7.250          7.000          7.190              14.970
17/02/12                 7.250          7.310          6.750          6.810              14.190
20/02/12                 6.940          6.940          6.810          6.940              14.450
21/02/12                 6.940          7.130          6.810          7.000              14.580
22/02/12                 7.060          7.250          7.060          7.060              14.710
23/02/12                 7.130          7.190          6.880          7.190              14.970
24/02/12                 7.190          9.310          7.130          9.310              19.400
27/02/12                 9.500          9.810          8.690          8.690              18.100
28/02/12                 9.000          9.690          8.810          8.880              18.490
29/02/12                 9.000          9.060          8.750          8.880              18.490
01/03/12                 8.880          9.130          8.810          8.880              18.490
02/03/12                 8.940          9.310          8.880          9.310              19.400
05/03/12                 9.190          9.500          9.130          9.190              11.300
06/03/12                 9.190          9.310          9.000          9.000              11.070
08/03/12                 9.060          9.130          8.880          9.000              11.070
09/03/12                 9.060          9.130          8.750          8.810              10.840
12/03/12                 8.880          9.000          8.690          8.750              10.760
13/03/12                 8.880          8.880          8.630          8.690              10.680
14/03/12                 8.750          9.380          8.750          9.380              11.530
15/03/12                 9.310         10.190          9.310          9.500              11.680
16/03/12                 9.690          9.690          9.310          9.310              11.450
19/03/12                 9.380          9.630          9.190          9.250              11.370
20/03/12                 9.380          9.810          9.380          9.560              11.760
21/03/12                 9.560          9.750          9.440          9.500              11.680
22/03/12                 9.500          9.690          9.250          9.250              11.370
23/03/12                 9.310          9.560          9.250          9.380              11.530
26/03/12                 9.500         10.190          9.500         10.060              12.370
27/03/12                10.190         10.190          9.940          9.940              12.220
28/03/12                10.000         12.630         10.000         11.810              14.520
29/03/12                11.940         12.130         11.630         11.880              14.600
30/03/12                12.000         12.380         11.630         12.060              14.830
02/04/12                12.000         13.500         12.000         13.250              16.290
03/04/12                13.310         13.630         13.000         13.000              15.980
04/04/12                13.130         13.630         13.000         13.000              15.980
05/04/12                13.190         13.250         12.750         12.810              15.750
10/04/12                12.880         12.940         12.190         12.630              15.520
11/04/12                12.500         13.190         12.500         13.000              15.980
12/04/12                13.190         13.500         13.130         13.380              16.440
17/04/12                13.560         13.880         13.310         13.440              16.520
18/04/12                13.630         13.630         13.310         13.310              16.370
19/04/12                13.440         13.630         13.250         13.440              16.520
20/04/12                13.500         13.690         13.380         13.440              16.520
23/04/12                13.500         13.880         13.440         13.500              16.600
24/04/12                13.630         13.810         13.500         13.500              16.600
25/04/12                13.560         13.750         13.310         13.380              16.440
26/04/12                13.500         13.560         13.000         13.000              15.980
27/04/12                13.130         13.440         12.880         13.060              16.060
30/04/12                13.190         13.560         13.130         13.500              16.600
02/05/12                13.630         15.630         13.560         15.310              18.830
03/05/12                15.380         15.440         15.000         15.060              18.520
04/05/12                15.250         16.250         15.250         15.690              19.290
08/05/12                15.690         17.000         15.690         16.880              20.750
09/05/12                17.130         18.060         16.940         17.380              21.360
10/05/12                20.000         21.500         18.690         21.500              26.430
11/05/12                21.500         23.440         20.000         20.250              24.900
14/05/12                19.750         21.000         18.000         19.380              23.820
15/05/12                19.750         22.380         19.630         22.380              27.510
16/05/12                22.130         22.810         21.250         21.750              26.740
17/05/12                22.250         22.440         21.380         22.190              16.600
18/05/12                21.880         22.250         20.750         21.000              15.710
21/05/12                21.310         21.810         19.750         20.560              15.380
22/05/12                21.060         21.500         19.880         20.000              14.960
23/05/12                20.060         20.250         18.380         18.500              13.840
24/05/12                19.000         19.000         16.750         18.130              13.560
25/05/12                18.000         19.250         17.810         18.310              13.700
28/05/12                18.380         18.500         17.630         17.880              13.370
29/05/12                18.000         18.560         17.690         17.750              13.280
30/05/12                17.880         18.130         17.560         17.560              13.140
31/05/12                17.560         18.310         17.000         18.250              13.650
01/06/12                18.380         18.440         17.380         17.440              13.050
05/06/12                17.500         17.630         16.500         16.500              12.340
06/06/12                16.940         17.940         16.750         17.500              13.090
07/06/12                17.750         17.880         16.750         16.750              12.530
08/06/12                16.880         17.060         16.810         17.060              12.770
11/06/12                17.250         17.500         16.940         17.000              12.720
12/06/12                17.000         17.440         16.880         17.130              12.810
13/06/12                17.250         20.250         17.130         19.940              14.920
14/06/12                19.690         20.560         19.500         19.690              14.730
15/06/12                19.880         20.000         19.060         19.310              14.450
18/06/12                19.630         20.750         19.560         20.500              15.340
19/06/12                20.880         20.940         20.190         20.690              15.480
20/06/12                20.750         20.750         20.060         20.250              15.150
21/06/12                20.630         20.750         20.060         20.250              15.150
22/06/12                20.060         20.380         19.810         20.130              15.060
25/06/12                20.060         20.310         19.380         19.380              14.500
26/06/12                19.500         19.630         19.250         19.380              14.500
27/06/12                19.500         19.750         18.810         18.880              14.120
28/06/12                19.000         19.380         18.880         19.190              14.360
29/06/12                19.250         19.250         18.940         19.060              14.260
02/07/12                19.190         20.500         19.130         20.440              15.290
03/07/12                20.500         20.560         19.750         19.750              14.780
04/07/12                19.880         19.940         19.380         19.500              14.590
05/07/12                19.500         19.560         19.190         19.310              14.450
06/07/12                19.310         19.810         19.310         19.310              14.450
