Timestamp             CMR.Open       CMR.High        CMR.Low      CMR.Close                .PE 
25/01/17                 4.700          4.700          4.640          4.640              48.350
26/01/17                 4.660          4.700          4.640          4.700              48.980
27/01/17                 4.700          4.700          4.640          4.640              48.350
30/01/17                 4.680          4.700          4.640          4.640              48.350
31/01/17                 4.620          4.680          4.620          4.640              48.350
01/02/17                 4.640          4.660          4.640          4.640              48.350
02/02/17                 4.640          4.640          4.600          4.620              48.140
03/02/17                 4.620          4.660          4.600          4.600              47.930
06/02/17                 4.600          4.640          4.600          4.620              48.140
07/02/17                 4.620          4.640          4.600          4.600              47.930
08/02/17                 4.620          4.620          4.580          4.600              47.930
09/02/17                 4.620          4.620          4.600          4.600              47.930
10/02/17                 4.620          4.620          4.600          4.600              47.930
14/02/17                 4.600          4.620          4.600          4.600              47.930
15/02/17                 4.580          4.600          4.560          4.600              47.930
16/02/17                 4.580          4.620          4.580          4.600              47.930
17/02/17                 4.760          4.880          4.620          4.620              48.140
20/02/17                 4.640          4.660          4.620          4.620              48.140
21/02/17                 4.620          4.620          4.600          4.600              47.930
22/02/17                 4.600          4.620          4.580          4.600              47.930
23/02/17                 4.600          4.620          4.600          4.600              47.930
24/02/17                 4.600          4.600          4.580          4.580              47.730
27/02/17                 4.580          4.600          4.560          4.560              47.520
28/02/17                 4.560          4.580          4.560          4.560              47.320
01/03/17                 4.560          4.560          4.520          4.520              46.910
02/03/17                 4.780          4.780          4.520          4.540              47.110
03/03/17                 4.600          4.600          4.540          4.540              47.110
06/03/17                 4.540          4.580          4.520          4.520              46.910
07/03/17                 4.540          4.580          4.520          4.540              47.110
08/03/17                 4.540          4.540          4.480          4.500              46.700
09/03/17                 4.460          4.540          4.460          4.500              46.700
10/03/17                 4.300          4.480          4.300          4.420              45.870
13/03/17                 4.420          4.420          4.340          4.340              45.040
14/03/17                 4.380          4.380          4.280          4.320              44.830
15/03/17                 4.340          4.340          4.320          4.340              45.040
16/03/17                 4.380          4.380          4.360          4.380              45.450
17/03/17                 4.380          4.380          4.360          4.380              45.450
20/03/17                 4.360          4.400          4.360          4.380              45.450
21/03/17                 4.400          4.400          4.360          4.400              45.660
22/03/17                 4.380          4.420          4.380          4.400              45.660
23/03/17                 4.380          4.380          4.340          4.340              45.040
24/03/17                 4.380          4.380          4.340          4.360              45.250
27/03/17                 4.340          4.380          4.340          4.380              45.450
28/03/17                 4.400          4.400          4.360          4.380              45.450
29/03/17                 4.340          4.380          4.340          4.380              45.450
30/03/17                 4.380          4.380          4.340          4.380              45.450
31/03/17                 4.380          4.380          4.340          4.340              45.040
03/04/17                 4.360          4.360          4.300          4.340              45.040
04/04/17                 4.340          4.360          4.320          4.320              44.830
05/04/17                 4.340          4.400          4.320          4.320              44.830
07/04/17                 4.300          4.340          4.300          4.340              45.040
10/04/17                 4.380          4.380          4.320          4.340              45.040
11/04/17                 4.320          4.340          4.300          4.300              44.620
12/04/17                 4.360          4.360          4.300          4.300              44.620
17/04/17                 4.320          4.760          4.320          4.700              48.770
18/04/17                 4.680          4.680          4.560          4.580              47.530
19/04/17                 4.580          5.100          4.580          4.800              49.810
20/04/17                 4.740          4.780          4.580          4.580              47.530
21/04/17                 4.640          4.700          4.420          4.420              45.870
24/04/17                 4.420          4.540          4.380          4.400              45.660
25/04/17                 4.440          4.440          4.300          4.300              44.620
26/04/17                 4.320          4.500          4.320          4.400              45.660
27/04/17                 4.440          4.440          4.340          4.360              45.250
28/04/17                 4.360          4.400          4.300          4.320              44.830
02/05/17                 4.320          4.340          4.300          4.320              44.830
03/05/17                 4.340          4.480          4.340          4.360              45.250
04/05/17                 4.360          4.420          4.360          4.380              45.450
05/05/17                 4.400          4.600          4.400          4.460              46.280
08/05/17                 4.420          4.460          4.360          4.360              45.250
09/05/17                 4.380          4.460          4.340          4.360              45.250
11/05/17                 4.380          4.380          4.260          4.260              44.210
12/05/17                 4.260          4.300          4.220          4.220              43.790
15/05/17                 4.240          4.240          4.000          4.020              44.240
16/05/17                 4.080          4.080          4.040          4.060              44.680
17/05/17                 4.080          4.120          4.060          4.100              45.120
18/05/17                 4.100          4.160          4.100          4.120              45.340
19/05/17                 4.120          4.160          4.120          4.120              45.340
22/05/17                 4.140          4.180          4.120          4.140              45.560
23/05/17                 4.140          4.340          4.140          4.160              45.780
24/05/17                 4.160          4.200          4.160          4.160              45.780
25/05/17                 4.160          4.400          4.140          4.240              46.660
26/05/17                 4.380          4.400          4.240          4.300              47.320
29/05/17                 4.320          4.320          4.220          4.220              46.440
30/05/17                 4.220          4.280          4.200          4.220              46.440
31/05/17                 4.240          4.280          4.180          4.240              46.660
01/06/17                 4.240          4.260          4.200          4.200              46.220
02/06/17                 4.200          4.320          4.200          4.200              46.220
05/06/17                 4.240          4.240          4.180          4.200              46.220
06/06/17                 4.200          4.220          4.160          4.160              45.780
07/06/17                 4.180          4.240          4.180          4.200              46.220
08/06/17                 4.220          4.300          4.200          4.200              46.220
09/06/17                 4.200          4.200          4.140          4.140              45.560
12/06/17                 4.160          4.220          4.160          4.180              46.000
13/06/17                 4.200          4.200          4.180          4.200              46.220
14/06/17                 4.180          4.220          4.180          4.180              46.000
15/06/17                 4.180          4.200          4.160          4.160              45.780
16/06/17                 4.180          4.200          4.160          4.160              45.780
19/06/17                 4.180          4.200          4.160          4.160              45.780
20/06/17                 4.160          4.180          4.160          4.160              45.780
21/06/17                 4.160          4.180          4.140          4.160              45.780
22/06/17                 4.160          4.180          4.140          4.180              46.000
23/06/17                 4.180          4.180          4.160          4.180              46.000
26/06/17                 4.180          4.180          4.160          4.180              46.000
27/06/17                 4.180          4.220          4.180          4.180              46.000
28/06/17                 4.160          4.220          4.160          4.180              46.000
29/06/17                 4.180          4.200          4.160          4.160              45.780
30/06/17                 4.180          4.260          4.120          4.120              45.340
03/07/17                 4.120          4.180          4.120          4.140              45.560
04/07/17                 4.120          4.120          4.100          4.120              45.340
05/07/17                 4.100          4.140          4.080          4.100              45.120
06/07/17                 4.120          4.120          4.080          4.080              44.900
