Timestamp             AHC.Open       AHC.High        AHC.Low      AHC.Close                .PE 
28/01/16                36.000         36.250         36.000         36.250              33.760
29/01/16                36.000         36.000         35.750         36.000              33.530
01/02/16                35.250         36.000         35.250         36.000              33.530
02/02/16                36.000         36.000         36.000         36.000              33.530
03/02/16                35.500         36.000         35.500         36.000              33.530
04/02/16                36.000         36.000         35.750         35.750              33.290
05/02/16                35.750         36.000         35.000         36.000              33.530
08/02/16                35.750         36.000         35.250         35.750              33.290
09/02/16                35.250         35.750         35.250         35.750              33.290
10/02/16                35.500         35.500         35.000         35.500              33.060
11/02/16                34.750         35.250         34.750         35.250              32.980
12/02/16                35.000         35.250         35.000         35.250              32.980
15/02/16                34.750         35.250         34.750         35.250              32.980
16/02/16                35.250         35.250         34.750         35.250              32.980
17/02/16                34.750         35.000         34.500         35.000              32.750
18/02/16                34.500         35.000         33.500         34.000              31.810
19/02/16                33.750         34.250         33.750         34.250              32.050
23/02/16                34.000         34.250         34.000         34.250              32.050
24/02/16                34.250         34.750         34.000         34.750              32.520
25/02/16                34.750         35.000         34.000         34.250              32.050
26/02/16                34.250         34.750         33.750         34.250              32.050
29/02/16                34.250         34.500         34.250         34.500              32.280
01/03/16                34.500         34.750         34.000         34.000              31.810
02/03/16                34.000         34.500         34.000         34.500              32.280
03/03/16                34.500         35.000         34.500         34.500              32.280
04/03/16                34.500         35.000         34.500         35.000              32.750
07/03/16                34.500         35.000         34.500         35.000              32.750
08/03/16                34.250         34.750         34.000         34.000              31.810
09/03/16                34.000         34.000         34.000         34.000              31.810
10/03/16                34.000         34.500         34.000         34.500              32.280
11/03/16                34.250         34.500         34.250         34.500              32.280
14/03/16                34.500         34.500         34.500         34.500              32.280
15/03/16                34.750         35.000         34.750         34.750              32.520
16/03/16                34.750         37.500         34.750         36.750              34.390
17/03/16                37.250         37.500         36.000         36.500              34.150
18/03/16                37.000         38.000         36.500         37.500              35.090
21/03/16                37.750         37.750         37.000         37.500              35.090
22/03/16                37.000         37.250         35.250         36.000              33.690
23/03/16                36.750         36.750         36.250         36.750              34.390
24/03/16                36.250         36.250         36.000         36.000              33.690
